name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s) [31 Oct 2013 u32 n]
binary-trees,F# Mono,1,12,537,0.140,0,0,0% 0% 0% 100%,0.142
binary-trees,F# Mono,1,16,537,0.844,30664,0,3% 1% 3% 100%,0.847
binary-trees,F# Mono,1,20,537,25.844,189180,0,0% 0% 1% 100%,25.876
binary-trees,Fortran Intel,2,12,1199,0.056,0,0,0% 0% 0% 100%,0.061
binary-trees,Fortran Intel,2,16,1199,1.176,3044,0,2% 0% 0% 100%,1.179
binary-trees,Fortran Intel,2,20,1199,23.773,99616,0,0% 0% 0% 100%,23.786
binary-trees,Python 3,6,12,626,0.964,27952,0,7% 1% 2% 94%,1.029
binary-trees,Python 3,6,16,626,22.413,66204,0,0% 0% 0% 100%,22.529
binary-trees,Python 3,6,20,626,504.560,685724,0,0% 0% 0% 100%,504.929
binary-trees,C gcc,7,12,850,0.020,0,0,0% 0% 0% 100%,0.025
binary-trees,C gcc,7,16,850,0.444,4636,0,0% 0% 2% 100%,0.45
binary-trees,C gcc,7,20,850,9.468,99412,0,1% 2% 1% 100%,9.476
binary-trees,Ruby JRuby,3,12,439,5.144,131552,0,1% 0% 0% 100%,5.162
binary-trees,Ruby JRuby,3,16,439,14.376,577788,0,0% 0% 0% 100%,14.407
binary-trees,Ruby JRuby,3,20,439,289.212,869740,0,0% 0% 0% 100%,289.554
binary-trees,Clojure,1,12,657,10.376,137408,0,0% 0% 0% 100%,10.402
binary-trees,Clojure,1,16,657,11.448,326352,0,0% 0% 0% 100%,11.466
binary-trees,Clojure,1,20,657,30.220,550764,0,0% 0% 0% 100%,30.26
binary-trees,Java 7,2,12,603,0.132,0,0,0% 0% 0% 100%,0.134
binary-trees,Java 7,2,16,603,0.976,143840,0,0% 0% 2% 100%,0.982
binary-trees,Java 7,2,20,603,16.824,507016,0,0% 0% 0% 100%,16.851
binary-trees,Ruby 2.0,2,12,413,0.576,4724,0,0% 2% 2% 100%,0.582
binary-trees,Ruby 2.0,2,16,413,11.296,15500,0,0% 0% 0% 100%,11.307
